mryycon	-33.4009895324707
myvlobd	-33.97520446777344
zyvoxdk	-42.584041595458984
wynsmew	-30.42465591430664
kedkbmr	-34.5813102722168
cmrscwc	-35.037437438964844
wkbsxob	-39.7088508605957
nsckbwc	-36.846317291259766
bocmkvo	-39.4564094543457
zkigkvv	-42.60762405395508
sxpylyh	-35.01577377319336
zbocdyx	-42.305076599121094
crbsxoc	-38.06560134887695
swzvybo	-37.10409164428711
kvvydon	-34.48329162597656
zbomkcd	-39.263160705566406
lybsxqc	-42.85857391357422
lkmsvvs	-36.32170867919922
wkdbsmo	-36.486995697021484
bonslvo	-34.44765090942383
klcyvfo	-40.78521728515625
yebcovp	-34.895774841308594
odrodsm	-34.4904670715332
wkixkbn	-40.274925231933594
mkvsleb	-35.38396072387695
oxfsbyc	-39.76297378540039
mkvjyxo	-41.52894592285156
cewkdbk	-40.9130973815918
nbigkvv	-39.965938568115234
swzkvon	-37.17292404174805
wkxvkxn	-40.5903205871582
nsfsxon	-38.56913757324219
myxvkxq	-43.61052703857422
dklvoby	-37.12471389770508
bonbkpd	-34.73928451538086
oaesdkc	-42.28152084350586
bkddsxq	-40.66632843017578
obbkxmi	-41.12004470825195
golmkcd	-35.0498161315918
vygvkxn	-44.4805908203125
lyiryyn	-34.94938659667969
kmdekbi	-37.709075927734375
mkdvsuo	-38.730655670166016
zedlkmu	-36.18986511230469
qkvsvoy	-42.10275650024414
bsfkvon	-35.44425582885742
fyvyxdo	-42.35395812988281
cexczyd	-39.47360610961914
bydexnk	-37.63880157470703
xydmron	-34.41005325317383
dkzbyyd	-40.756038665771484
comeboc	-25.816699981689453
oxdoxdo	-36.08238220214844
yedpvyg	-38.156593322753906
loddobc	-34.54991912841797
bewzvon	-36.644874572753906
lebbson	-29.779876708984375
bozevco	-32.21761703491211
psvvodc	-39.616676330566406
bovkdyb	-44.093204498291016
cywlyni	-31.04549789428711
exckfon	-32.31464767456055
ksvwoxd	-38.20396423339844
xynevoc	-36.27880096435547
wyxdoby	-34.911991119384766
ckdsboc	-34.813270568847656
kbmknsk	-35.1013069152832
fkvobso	-37.41843032836914
sxqvscr	-38.215450286865234
neuonyw	-33.95500946044922
oczyeco	-34.99745178222656
lonofsv	-34.87450408935547
bodsmvo	-37.443511962890625
wkdsxoo	-35.750003814697266
wkhgovv	-39.59453201293945
zsmkxdo	-41.09931564331055
lklyyxc	-38.89170455932617
ohmsdob	-35.976707458496094
vycsxqc	-43.72141647338867
xoglsoc	-33.673892974853516
cobbson	-27.039085388183594
mebfsxq	-43.0044059753418
xkbbygc	-36.12342071533203
bkqqsxq	-38.069557189941406
lkxopev	-37.932037353515625
zsxkdkc	-42.61277389526367
nsfscyx	-34.74595642089844
usxpyvu	-37.7536735534668
sxnskxk	-36.24659729003906
mkbsdkc	-36.59408950805664
csvfobi	-32.64740753173828
sxuvsxq	-40.83545684814453
klcoxco	-35.745391845703125
vkfklsd	-37.36144256591797
yedcsjo	-37.90355682373047
bogsbon	-28.6097412109375
klckvyw	-38.35791015625
qodlkmu	-39.189537048339844
kmmecob	-35.23679733276367
cdbsfox	-33.410850524902344
